distractor,target,set,ans1,ans2,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,image_4_stopped,mouse_7_x,mouse_7_y,mouse_7_leftButton,mouse_7_midButton,mouse_7_rightButton,sound_2_started,sound_2_stopped,key_resp_3_keys,mouse_5_x,mouse_5_y,mouse_5_leftButton,mouse_5_midButton,mouse_5_rightButton,mouse_5_started,mouse_5_stopped,yes_text2_started,yes_text2_stopped,no_text2_started,no_text2_stopped,mouse_3_x,mouse_3_y,mouse_3_leftButton,mouse_3_midButton,mouse_3_rightButton,mouse_3_started,mouse_3_stopped,mouse_3_clicked_name,st_prac_back_started,st_prac_back_stopped,st_prac_text_started,st_prac_text_stopped,st_fix_back_started,st_fix_back_stopped,st_fix_2_started,st_fix_2_stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back_started,st_back_stopped,st2_resp_keys,st2_resp_corr,st_main_back_started,st_main_back_stopped,st_main_text_started,st_main_text_stopped,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,mouse_4_started,mouse_4_stopped,text_2_started,text_2_stopped,id_,age_,gender_,date,expName,psychopyVersion,frameRate
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,0,9,9,9,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.50090330000012,309.2151634,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,0,10,10,10,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.614681799999971,311.7158343,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,0,11,11,11,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.50088000000005,313.3325141,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
negative,red,2,None,None,NaN,NaN,NaN,NaN,0,12,12,12,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49874320000004,315.8352024,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,red,1,None,None,NaN,NaN,NaN,NaN,0,13,13,13,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49810410000009,318.336347,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,blue,2,k,None,NaN,NaN,NaN,NaN,0,14,14,14,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49812840000004,320.8361886,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,blue,1,k,None,NaN,NaN,NaN,NaN,0,15,15,15,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.50828490000004,323.3378938,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
negative,blue,1,None,k,NaN,NaN,NaN,NaN,0,16,16,16,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.689091899999994,325.8488152,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,blue,2,k,None,NaN,NaN,NaN,NaN,0,17,17,17,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.51281249999988,327.5383565,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,blue,1,k,None,NaN,NaN,NaN,NaN,0,18,18,18,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.50908649999997,330.0524453,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,0,19,19,19,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.806271700000025,332.5644828,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,1,0,20,0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.50109590000011,334.3707437,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,red,2,None,None,NaN,NaN,NaN,NaN,1,1,21,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49873709999997,336.8759624,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,2,22,2,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.679298499999959,339.3754253,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,1,3,23,3,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.983327199999849,341.0674968,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,4,24,4,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.878069300000107,343.0420094,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
negative,blue,1,None,k,NaN,NaN,NaN,NaN,1,5,25,5,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.47352439999986,344.9189307,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,1,6,26,6,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49679559999981,347.3962299,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
negative,red,1,None,None,NaN,NaN,NaN,NaN,1,7,27,7,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.51153750000003,349.894597,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,1,8,28,8,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.631329999999934,352.4089653,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,1,9,29,9,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.4998485000001,354.0414915,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,1,10,30,10,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.579483800000162,356.5427535,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,1,11,31,11,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49571029999993,358.124732,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
negative,red,2,None,None,NaN,NaN,NaN,NaN,1,12,32,12,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.50840199999993,360.620924,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,red,1,None,None,NaN,NaN,NaN,NaN,1,13,33,13,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49918479999997,363.1306991,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,blue,2,k,None,NaN,NaN,NaN,NaN,1,14,34,14,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.51103269999999,365.6319441,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,blue,1,k,None,NaN,NaN,NaN,NaN,1,15,35,15,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.50649490000001,368.1452843,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
negative,blue,1,None,k,NaN,NaN,NaN,NaN,1,16,36,16,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.593420500000093,370.6568085,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,blue,2,k,None,NaN,NaN,NaN,NaN,1,17,37,17,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49319420000006,372.2514212,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,blue,1,k,None,NaN,NaN,NaN,NaN,1,18,38,18,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.505359,374.7452989,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,1,19,39,19,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.722449800000049,377.2556136,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,,,,NaN,NaN,NaN,,,NaN,379.0000456,None,379.0000456,None,0.035185184,-0.035185184,0,0,0,0.00870813999995335,None,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,381.1847299,None,381.1847299,None,main,None,None,1,1.51108829999998,383.2550651,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,red,1,None,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,1,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.51170910000019,385.7697162,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,blue,2,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,2,2,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.50398390000009,388.2831056,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
positive,blue,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3,3,3,NaN,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.49657560000014,390.7881578,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686
