target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,start_wait_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_5_started,image_6_started,back_2_started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,j_button_started,k_button_started,l_button_started,targ_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2_started,k_button2_started,l_button2_started,j_button2_stopped,k_button2_stopped,l_button2_stopped,mainback_started,mouse_6_started,image_7_started,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,id_,date,expName,psychopyVersion,frameRate
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,1,13,31,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,1,1,1,neutral,neutral,211.302189199952,211.302189199952,211.302189199952,211.302189199952,212.268690799829,212.33448379999,k,k,1,3.39741010009311,215.670287499903,215.670287499903,215.670287499903,216.702963099815,216.702963099815,216.702963099815,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,1,14,32,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,1,1,1,neutral,negative,216.702963099815,216.702963099815,216.702963099815,216.702963099815,217.701945499983,217.736060299911,l,l,1,3.61142150009982,221.302858799929,221.302858799929,221.302858799929,222.335822799942,222.335822799942,222.335822799942,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
negative,negative,1,j,l,NaN,NaN,NaN,NaN,1,15,33,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,2,2,1,negative,negative,222.335822799942,222.335822799942,222.335822799942,222.335822799942,223.335933099966,223.368483399972,l,l,1,1.31102750007994,224.668591999914,224.668591999914,224.668591999914,224.668591999914,224.668591999914,224.668591999914,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
negative,negative,2,j,l,NaN,NaN,NaN,NaN,1,16,34,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,2,2,2,negative,negative,224.668591999914,224.668591999914,224.668591999914,224.668591999914,225.635486099869,225.702246699948,l,l,1,1.36279060016386,227.035936499946,227.035936499946,227.035936499946,227.035936499946,227.035936499946,227.035936499946,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
positive,positive,1,l,j,NaN,NaN,NaN,NaN,1,17,35,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,2,2,1,positive,positive,227.035936499946,227.035936499946,227.035936499946,227.035936499946,228.004097600002,228.069118299987,j,j,1,2.22937169997022,230.236853000009,230.236853000009,230.236853000009,231.270830899943,231.270830899943,231.270830899943,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,231.270830899943,0.000197400106117129,231.270830899943,space,16.6892726998776,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,0.590740740740741,-0.4,0,0,0,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,13,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,248.003671200015,main,1,1,2,positive,neutral,250.069608899998,250.069608899998,250.069608899998,250.069608899998,251.053862100001,251.087485899916,k,k,1,3.11403129994869,254.153596199816,254.153596199816,254.153596199816,255.188194399932,255.188194399932,255.188194399932,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,10,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,main,2,2,2,neutral,neutral,255.188194399932,255.188194399932,255.188194399932,255.188194399932,256.204232999822,256.204232999822,k,k,1,4.72817680006847,260.905905199936,260.905905199936,260.905905199936,261.938224699814,261.938224699814,261.938224699814,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,2,1,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,main,1,1,1,neutral,neutral,261.938224699814,261.938224699814,261.938224699814,261.938224699814,262.938201699872,262.971059199888,k,k,1,1.61073050019331,264.571567300009,264.571567300009,264.571567300009,264.571567300009,264.571567300009,264.571567300009,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
