target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_started,mouse_stopped,sound_1_started,sound_1_stopped,no_text_started,no_text_stopped,yes_text_started,yes_text_stopped,mouse_2_x,mouse_2_y,mouse_2_leftButton,mouse_2_midButton,mouse_2_rightButton,mouse_2_started,mouse_2_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,id_,age_,gender_,date,expName,psychopyVersion,frameRate
positive,positive,2,l,j,NaN,NaN,NaN,NaN,1,1,19,11,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,1,1,2,positive,positive,j,j,1,0.907628500004648,129.533730399999,130.535634300002,130.518480800005,None,129.533730399999,None,129.533730399999,None,129.533730399999,None,131.42421878,None,131.42421878,None,131.42421878,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,103,22,Female,2022-04-28_15h35.25.787,Boat,2022.1.1,60.0836243869168
negative,negative,1,j,l,NaN,NaN,NaN,NaN,1,2,20,0,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,2,2,1,negative,negative,l,l,1,1.02373210000223,131.440341699999,132.450664300006,132.43193240001,None,131.440341699999,None,131.440341699999,None,131.440341699999,None,133.45035278,None,133.45035278,None,133.45035278,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,103,22,Female,2022-04-28_15h35.25.787,Boat,2022.1.1,60.0836243869168
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,1,3,21,7,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,2,2,1,negative,neutral,k,k,1,0.869228600000497,133.466699900004,134.467917500006,134.450372300009,None,133.466699900004,None,133.466699900004,None,133.466699900004,None,135.321377479998,None,135.321377479998,None,135.321377479998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,103,22,Female,2022-04-28_15h35.25.787,Boat,2022.1.1,60.0836243869168
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,1,4,22,10,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,1,1,2,neutral,neutral,k,k,1,0.826193100001547,135.337254400001,136.35961710001,136.318150100007,None,135.337254400001,None,135.337254400001,None,135.337254400001,None,137.151206280006,None,137.151206280006,None,137.151206280006,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,103,22,Female,2022-04-28_15h35.25.787,Boat,2022.1.1,60.0836243869168
negative,positive,1,j,l,NaN,NaN,NaN,NaN,1,5,23,6,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,2,2,1,positive,negative,l,l,1,0.809408200002508,137.169143699997,138.1855182,138.15122900001,None,137.169143699997,None,137.169143699997,None,137.169143699997,None,138.964195780008,None,138.964195780008,None,138.964195780008,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,103,22,Female,2022-04-28_15h35.25.787,Boat,2022.1.1,60.0836243869168
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,1,6,24,1,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,1,1,1,neutral,neutral,k,k,1,0.818123100005323,138.983597700004,140.0016187,139.965818199998,None,138.983597700004,None,138.983597700004,None,138.983597700004,None,140.784608279998,None,140.784608279998,None,140.784608279998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,103,22,Female,2022-04-28_15h35.25.787,Boat,2022.1.1,60.0836243869168
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,1,7,25,8,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,1,1,1,neutral,positive,j,j,1,0.946363299997756,140.800630199999,141.818146899997,141.782321300008,None,140.800630199999,None,140.800630199999,None,140.800630199999,None,142.73479998,None,142.73479998,None,142.73479998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,103,22,Female,2022-04-28_15h35.25.787,Boat,2022.1.1,60.0836243869168
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,1,8,26,3,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,1,1,1,neutral,negative,l,l,1,0.834167299995897,142.749743000008,143.752066100002,143.732808000001,None,142.749743000008,None,142.749743000008,None,142.749743000008,None,144.570006380006,None,144.570006380006,None,144.570006380006,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,103,22,Female,2022-04-28_15h35.25.787,Boat,2022.1.1,60.0836243869168
positive,negative,1,l,j,NaN,NaN,NaN,NaN,1,9,27,5,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,2,2,1,negative,positive,j,j,1,1.3239334999962,144.586918500005,145.601869899998,145.5660489,None,144.586918500005,None,144.586918500005,None,144.586918500005,None,146.897949780006,None,146.897949780006,None,146.897949780006,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,103,22,Female,2022-04-28_15h35.25.787,Boat,2022.1.1,60.0836243869168
positive,negative,2,l,j,NaN,NaN,NaN,NaN,1,10,28,14,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,2,2,2,negative,positive,j,j,1,0.94560539998929,146.913579700005,147.919793499997,147.901489900003,None,146.913579700005,None,146.913579700005,None,146.913579700005,None,148.845355679997,None,148.845355679997,None,148.845355679997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,103,22,Female,2022-04-28_15h35.25.787,Boat,2022.1.1,60.0836243869168
